path	disposition	accepted_source_intent	frozen_upstream_intent	candidate_disposition_rationale	evidence
src/config/sessions/goals.ts	KEEP	Read fresh token totals through session-entry-runtime.	Read resolveFreshSessionTotalTokens from types.	The accepted owner split preserves goal accounting semantics.	source/candidate 10372eaed5aa; frozen 0cbe27924194; create/update/clear goal tests
src/config/sessions/lifecycle.ts	KEEP	Use isTerminalSessionStatus from session-entry-runtime.	Import the predicate from types.	The accepted runtime/static separation retains lifecycle and terminal-main-session behavior.	source/candidate afa67b1950e9; frozen 03d33405028e; lifecycle tests
src/config/sessions/session-accessor.sqlite-entry.ts	KEEP	Use mergeSessionEntry helpers from the dedicated runtime owner for SQLite writes.	Import both helpers from types.	The accepted persistence-owner split retains direct query/write behavior.	source/candidate 6941b094fb8b; frozen 061b80fa1fc6; SQLite owner tests
src/config/sessions/session-accessor.sqlite-parent-session.ts	KEEP	Use extracted runtime helpers while forking parent transcript identity and clearing lifecycleRunId.	Also clear lastRunId on the fork, but import helpers from types.	The candidate correctly integrates both intents: accepted runtime-owner imports plus frozen lastRunId reset.	source eafa1bf1f84d; frozen f732e07b8ad2; candidate e7023cf8922d; parent-fork tests
src/config/sessions/session-accessor.sqlite-transcript-write.ts	KEEP	Use mergeSessionEntry from session-entry-runtime inside fenced transcript transactions.	Import mergeSessionEntry from types.	The accepted runtime owner retains frozen authorization and transcript-write behavior.	source/candidate f054c178f4aa; frozen 78254a24a434; transcript-owner tests
src/config/sessions/session-snapshot-merge.test.ts	KEEP	Test snapshot projection with mergeSessionEntry from session-entry-runtime.	Import mergeSessionEntry from types.	The accepted owner boundary retains all snapshot merge assertions.	source/candidate 42e8867e1287; frozen 233dc0c9d6e7; snapshot merge tests
src/context-engine/context-engine.test.ts	KEEP	Allocate, close, and remove a unique agent database around compaction-contract tests.	Use fixed /tmp database paths without cleanup.	The accepted SQLite fixture is host-safe and preserves compaction behavior.	source/candidate 6b0d8603cec8; frozen 72652cd67331; successor-identity tests
src/cron/isolated-agent/run.runtime.ts	KEEP	Export setSessionRuntimeModel from session-entry-runtime.	Export it from types.	The accepted runtime-owner extraction preserves isolated cron execution.	source/candidate 75feee04624b; frozen 30d5fbaa6b8a; scheduled agent-less-owner tests
src/cron/service.runs-one-shot-main-job-disables-it.test.ts	KEEP	Import HeartbeatRunResult from heartbeat-wake-contracts.	Import the type from heartbeat-wake.	The accepted contract/runtime split leaves one-shot disablement and delivery outcomes unchanged.	source/candidate bf2510694644; frozen 541eacf1b3cc; one-shot main-job test
src/cron/service/state.ts	KEEP	Type Cron service state against static heartbeat-wake-contracts.	Import wake contracts from the runtime heartbeat-wake module.	The accepted dependency direction avoids runtime initialization coupling.	source/candidate 89797c5346d2; frozen 2b2db3a3da2b; createCronServiceState tests
src/cron/service/timer-execution.ts	KEEP	Use HeartbeatRunResult from contracts while importing runtime predicates from heartbeat-wake.	Import the result type from heartbeat-wake too.	The accepted boundary preserves executeJobCore retry classification.	source/candidate d9a988ace510; frozen 3002f13103dc; one-shot job tests
src/infra/heartbeat-cooldown.ts	KEEP	Keep wake intent/source types in heartbeat-wake-contracts.	Import those types from heartbeat-wake.	The accepted contract split leaves cooldown policy unchanged.	source/candidate 0fc4cdf46b48; frozen 9a4aa42dbbbc; shouldDeferWake tests
src/infra/heartbeat-outcome-store.ts	KEEP	Keep persisted outcome source typing in heartbeat-wake-contracts.	Import HeartbeatWakeSource from heartbeat-wake runtime.	The accepted persistence-to-contract dependency direction preserves serialization.	source/candidate e2a7c0b4c980; frozen d6d5d3b27332; outcome-store tests
src/infra/heartbeat-runner-config.ts	KEEP	Use HeartbeatWakeSource from the extracted contracts owner.	Import the type from heartbeat-wake runtime.	The accepted configuration boundary avoids wake runtime initialization.	source/candidate 0d471b8ae858; frozen 238573055225; wake-owner-resolution tests
src/infra/heartbeat-runner-delivery.ts	KEEP	Use CompletedHeartbeatAgentRun from execution ownership and HeartbeatRunResult from contracts.	Use the completed type from invoke and result type from heartbeat-wake.	The accepted runner split retains upstream silent-ack suppression.	source/candidate aebf2a76c85d; frozen b66a9ab797bc; structured-delivery tests
src/infra/heartbeat-runner-scheduler.ts	KEEP	Separate scheduled admission into startHeartbeatRunnerScheduled over runHeartbeatOnceCore.	Use startHeartbeatRunner and runHeartbeatOnce directly.	The accepted scheduler-owner split retains disabled-cadence exec completion behavior.	source/candidate ac1c0e0d5422; frozen 0116fac876d5; scheduler tests
src/infra/session-delivery-queue.storage.test.ts	KEEP	Preserve the expanded continuation queue corpus for validation, delegate receipts, retries, and recovery.	Use a smaller suite with generated-media retry and completion-receipt coverage.	The candidate includes the frozen focused-media retry proof within broader accepted durability/security coverage.	source/candidate 43631f7709e6; frozen be2da0916ff9; storage lifecycle tests
src/infra/state-migrations.legacy-session-store.ts	KEEP	Normalize runtime model fields through session-entry-runtime while stripping runtime-only skill catalogs.	Import normalization through types.	The accepted owner boundary retains frozen skill-catalog cleanup behavior.	source/candidate d047866bc160; frozen d168f80a8904; legacy migration tests
src/plugins/git-install.test.ts	KEEP	Prove fallback clone staging commits into a persistent managed repository and verify it exists.	Expect only two temporary directories without verifying persistent materialization.	The accepted atomic-install assertion is stronger.	source/candidate 30a3595d7ebf; frozen 6aba1576bb78; read-only-filesystem fallback tests
src/plugins/runtime/types-core.ts	KEEP	Type plugin system hooks against raw internal enqueue/wake primitives wrapped by runtime-system authority.	Type the plugin surface directly against canonical enqueue/request exports.	The accepted wrapper-owned authority seam avoids exposing runtime ownership through the type barrel.	source/candidate dc0652d734e4; frozen 8a6316379958; createPluginRuntimeSystem tests
src/sessions/user-turn-transcript.media-normalize.ts	KEEP	Add persisted-media field normalization and keep resolveTranscriptMediaPath private.	Export resolveTranscriptMediaPath and omit the consolidated builder.	The accepted fix intentionally removes a collision-prone export while retaining media normalization.	source/candidate 729f76ce0767; frozen 3dd73606cf10; 77c7bb1 unexport fix; media tests
src/talk/client-voice-session.ts	KEEP	Use mergeSessionEntry from session-entry-runtime for durable voice-session mutation.	Import mergeSessionEntry from types.	The accepted runtime-owner extraction retains delivery-scan and transcript behavior.	source/candidate 46591cdeeef1; frozen 0e1c639b37ff; voice-session tests
src/tasks/task-registry.test.ts	KEEP	Test contract-only heartbeat typing, current maintenance owners, and mirrored continuation terminalization by run ID.	Use heartbeat runtime types, older maintenance names, and omit mirrored continuation coverage.	The accepted continuation registry coverage includes frozen bounded-cleanup behavior.	source/candidate 95755eb35773; frozen f0cfeae8018c; finalizeTaskRecordByRunId tests
ui/src/components/form-controls.browser.test.ts	KEEP	Launch Chromium through launchChromiumTestContext for shared-host isolation and process-tree cleanup.	Launch and close one Browser directly.	The accepted lifecycle helper is stronger and retains responsive form assertions.	source/candidate 887f013b7dd0; frozen 2e3747501713; form-control browser tests
ui/src/pages/sessions/view.browser.test.ts	KEEP	Use launchChromiumTestContext for isolated Chromium lifecycle and teardown.	Launch and close Chromium directly.	The accepted shared-host fixture preserves frozen visual-hierarchy assertions.	source/candidate 26dd4779ee71; frozen 2c0c4de7d345; Sessions responsive browser tests
