path	disposition	basis	rationale	evidence
extensions/codex/src/app-server/dynamic-tool-execution.ts	KEEP	prior-exact-overlay; base=4d46dc8ee412a971c6dd01fbca27d77e368e998e; source=bb3236741e0dba2d373cfb479bb3059f96dd11b6; frozen=4d46dc8ee412a971c6dd01fbca27d77e368e998e; candidate=bb3236741e0dba2d373cfb479bb3059f96dd11b6	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/codex/src/app-server/dynamic-tools.test.ts	KEEP	prior-exact-overlay; base=1e319e38079460b8b51705b41f89f96b93dfdd73; source=c3ae4cdadd64a4b11528b51781edd027dd3c02a4; frozen=1e319e38079460b8b51705b41f89f96b93dfdd73; candidate=c3ae4cdadd64a4b11528b51781edd027dd3c02a4	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=5
extensions/codex/src/app-server/dynamic-tools.ts	KEEP	prior-exact-overlay; base=2f257aebf142311ba3a58a5ddfd4c04cb648dc76; source=187b1b167ff5bf6b14228c6405c3b0d4f25350e2; frozen=2f257aebf142311ba3a58a5ddfd4c04cb648dc76; candidate=187b1b167ff5bf6b14228c6405c3b0d4f25350e2	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=6
extensions/codex/src/app-server/native-subagent-task-mirror.test.ts	KEEP	prior-exact-overlay; base=9dd0d0772bf9e17c5e929eb8ffc79b2675f0cb82; source=ecc1f9467035ef055d7f00bc43d74ce501a71733; frozen=9dd0d0772bf9e17c5e929eb8ffc79b2675f0cb82; candidate=ecc1f9467035ef055d7f00bc43d74ce501a71733	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=4
extensions/codex/src/app-server/run-attempt.dynamic-tools.test.ts	KEEP	prior-exact-overlay; base=dfc6ec44747508c65b6c5daafb6986649940cdfa; source=dcb72cc524b54a568550bc686f9107598cb107ae; frozen=dfc6ec44747508c65b6c5daafb6986649940cdfa; candidate=dcb72cc524b54a568550bc686f9107598cb107ae	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/codex/src/app-server/runtime-artifact.test.ts	KEEP	prior-exact-overlay; base=e791d78155cc61519adba6c41e4d4abcc9bb3f24; source=61a77fa541afcf62a14a6d63ca372607d9ba0495; frozen=e791d78155cc61519adba6c41e4d4abcc9bb3f24; candidate=61a77fa541afcf62a14a6d63ca372607d9ba0495	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/codex/src/app-server/side-question.test.ts	KEEP	prior-exact-overlay; base=f2da4c8146ee7d1093ae66c5d8c6644b6f95cd02; source=fe92a49cd88c23310d9e5e4ee16cdf1436039784; frozen=f2da4c8146ee7d1093ae66c5d8c6644b6f95cd02; candidate=fe92a49cd88c23310d9e5e4ee16cdf1436039784	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/copilot/src/native-subagent-task-mirror.test.ts	KEEP	prior-exact-overlay; base=8fa7337c46ba2aaf82ded1b57ef9edc82db4cf9c; source=add0e1bf8323dae88610b659de78d4a41be1feb1; frozen=8fa7337c46ba2aaf82ded1b57ef9edc82db4cf9c; candidate=add0e1bf8323dae88610b659de78d4a41be1feb1	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=5
extensions/copilot/src/tool-bridge.test.ts	KEEP	prior-exact-overlay; base=038552bc9cc95376073cc185a147ad8c10b683cd; source=84c79a0479d5ad612e149f20a50f8e51781f2dbc; frozen=038552bc9cc95376073cc185a147ad8c10b683cd; candidate=84c79a0479d5ad612e149f20a50f8e51781f2dbc	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=3
extensions/diagnostics-otel/src/service-traces.ts	KEEP	prior-exact-overlay; base=9e941d14ae555d66750e18da2ee128a8b1e97f23; source=62f3ab6ecb5cc90e7d61987951064205c87f29c2; frozen=9e941d14ae555d66750e18da2ee128a8b1e97f23; candidate=62f3ab6ecb5cc90e7d61987951064205c87f29c2	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/diagnostics-otel/src/service.test.ts	KEEP	prior-exact-overlay; base=ed6b3555903c689d1011b4278a7be038237c35a7; source=a6921a35de90422b7a01ae12113353c24127b4a5; frozen=ed6b3555903c689d1011b4278a7be038237c35a7; candidate=a6921a35de90422b7a01ae12113353c24127b4a5	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/diagnostics-otel/src/service.ts	KEEP	prior-exact-overlay; base=74ed2530dade44cc328570d71b88d87adcf9dc4c; source=7fcb94331fcd3cd110519f0eb81cdef0dd839f7c; frozen=74ed2530dade44cc328570d71b88d87adcf9dc4c; candidate=7fcb94331fcd3cd110519f0eb81cdef0dd839f7c	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=6
extensions/discord/src/internal/rest.ts	KEEP	prior-exact-overlay; base=040ee43c43101f5b822c4ea3a6f56bf6017543a8; source=a16c7856ddc3be054016f182b46edb1ebce1698c; frozen=040ee43c43101f5b822c4ea3a6f56bf6017543a8; candidate=a16c7856ddc3be054016f182b46edb1ebce1698c	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/feishu/src/delivery-trace.test.ts	KEEP	prior-exact-overlay; base=c1499a005adc10b1887f1dc37b936a35292f184b; source=37b7521bda69372aeb03009b22b19d04bbf01a5e; frozen=c1499a005adc10b1887f1dc37b936a35292f184b; candidate=37b7521bda69372aeb03009b22b19d04bbf01a5e	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=4
extensions/google-meet/src/oauth.ts	KEEP	prior-exact-overlay; base=3b6648a27eb2874663f6688b7aa46010dc3bc4f3; source=3698240ceb7207a2c0f321490bbd57eab922a000; frozen=3b6648a27eb2874663f6688b7aa46010dc3bc4f3; candidate=3698240ceb7207a2c0f321490bbd57eab922a000	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/google/transport-stream.test.ts	KEEP	prior-exact-overlay; base=39b1e2ede421a2dcafb78fb8688b5a40b6552548; source=9b8206c1165a3eda9e34c9028bac1449ce9a77f0; frozen=39b1e2ede421a2dcafb78fb8688b5a40b6552548; candidate=9b8206c1165a3eda9e34c9028bac1449ce9a77f0	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/matrix/src/actions.test.ts	KEEP	current-only-reviewed; accepted: Isolate Matrix action tests with a unique state directory and reset plugin state around each test. | frozen: Use a fixed /tmp state directory without plugin-state cleanup.	The accepted SQLite-backed test isolation is stronger and prevents ambient state leakage.	source/candidate 8b318c841a78; frozen 74864f96e8d8; matrixMessageActions verification-action tests
extensions/matrix/src/matrix/client/storage.test.ts	KEEP	prior-exact-overlay; base=3867f44be4be7205d136a4d4d2a417251ccf8b7d; source=ab3c25f0b39c212442b25b6b5ee052cee7795a77; frozen=3867f44be4be7205d136a4d4d2a417251ccf8b7d; candidate=ab3c25f0b39c212442b25b6b5ee052cee7795a77	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/matrix/src/test-runtime.ts	KEEP	prior-exact-overlay; base=d8b8d63e0597c6ef1144c53cd853cca6f28b59ae; source=16bee6310274339abb78ae1dbac450e1cb4c58ad; frozen=d8b8d63e0597c6ef1144c53cd853cca6f28b59ae; candidate=16bee6310274339abb78ae1dbac450e1cb4c58ad	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=12
extensions/msteams/src/channel.test.ts	KEEP	prior-exact-overlay; base=50a7ae1444d18c9fde9e7212ccd2f081f137cac6; source=27ba16733056d5853d6479c994ee934db4ecaee5; frozen=50a7ae1444d18c9fde9e7212ccd2f081f137cac6; candidate=27ba16733056d5853d6479c994ee934db4ecaee5	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=3
extensions/mxc/test/binary-resolver.test.ts	KEEP	prior-exact-overlay; base=62b1dfb1d6d9f3c7f21bfd3d4ce1f3cf42b6e5ef; source=684fa8b8d20e15d1dac5520a4a56a6ed5d95f067; frozen=62b1dfb1d6d9f3c7f21bfd3d4ce1f3cf42b6e5ef; candidate=684fa8b8d20e15d1dac5520a4a56a6ed5d95f067	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=7
extensions/ollama/provider-discovery.test.ts	KEEP	prior-exact-overlay; base=5e66ddb39617d7cf35528a5f88fdca08337d12f2; source=a2ed2dc86ba2ca3212e25cce005c519a086139f9; frozen=5e66ddb39617d7cf35528a5f88fdca08337d12f2; candidate=a2ed2dc86ba2ca3212e25cce005c519a086139f9	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=3
extensions/qa-lab/src/crabline-transport-message-id.test.ts	KEEP	prior-exact-overlay; base=8f59f90aa293929f1617725e8ad7c9d7c4277aea; source=068b0c34b88f79b527ca8f7a4c7fb41a6030a46d; frozen=8f59f90aa293929f1617725e8ad7c9d7c4277aea; candidate=068b0c34b88f79b527ca8f7a4c7fb41a6030a46d	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=3
extensions/qa-lab/src/crabline-transport-native-command.test.ts	KEEP	prior-exact-overlay; base=36d246baac450acdf84d086c38a6c38cc59038d5; source=8ca4c6d3043856789f1fcd749105e48ad7654942; frozen=36d246baac450acdf84d086c38a6c38cc59038d5; candidate=8ca4c6d3043856789f1fcd749105e48ad7654942	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/qa-lab/src/crabline-transport-readiness.test.ts	KEEP	prior-exact-overlay; base=f3c455e77755e61b8784a6a581f8f58b7b59f4aa; source=3031957212c092cf3c49179709ad85ad724d1a41; frozen=f3c455e77755e61b8784a6a581f8f58b7b59f4aa; candidate=3031957212c092cf3c49179709ad85ad724d1a41	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/qa-lab/src/lab-server-ui.ts	KEEP	prior-exact-overlay; base=92a2066d6d7e1ee5bae4cf742a65984d76e8cf6a; source=f74f65f5c2ee4df848fdec05b5e863cf36e62071; frozen=92a2066d6d7e1ee5bae4cf742a65984d76e8cf6a; candidate=f74f65f5c2ee4df848fdec05b5e863cf36e62071	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/signal/src/monitor.tool-result.test-harness.ts	KEEP	prior-exact-overlay; base=a81792bee8efc7e7aa50bdb9a2b4f6e838e3ad85; source=2f0fe3a82ffd9a893f7716693a1abd8e1782242e; frozen=a81792bee8efc7e7aa50bdb9a2b4f6e838e3ad85; candidate=2f0fe3a82ffd9a893f7716693a1abd8e1782242e	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/signal/src/monitor/event-handler.ingress-lifecycle.test.ts	KEEP	prior-exact-overlay; base=cb371972e467cdce1738373ee02a6e1ddcab95d7; source=57caa80c7665bb6cb511c254e9f7221ab56c6309; frozen=cb371972e467cdce1738373ee02a6e1ddcab95d7; candidate=57caa80c7665bb6cb511c254e9f7221ab56c6309	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=32
extensions/signal/src/monitor/event-handler.ts	KEEP	prior-reviewed-policy	retain upstream forwarding from Signal monitor through the channel turn lifecycle beside the disjoint accepted retry/abort blocks; zero upstream-added lines are absent	accepted retry and abort ownership at candidate lines 508-511, 610-637, and 783-802 | upstream: upstream dispatcher forwarding and ownership comment at candidate lines 530-531 | interleave=no | preservation=pass | proof=extension Signal owner tests plus Mode-B | review=read-only policy audit: clean
extensions/telegram/src/bot.create-telegram-bot.test.ts	KEEP	prior-exact-overlay; base=b1fe6c29236731081e521891824089af164c95c1; source=9c4a6c395ec8c3f7f8851eedcd2f7d4a97c932de; frozen=b1fe6c29236731081e521891824089af164c95c1; candidate=9c4a6c395ec8c3f7f8851eedcd2f7d4a97c932de	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
packages/agent-core/src/agent-loop.ts	KEEP	prior-exact-overlay; base=d1bc37076c1a416e5608b3d011966222297517f0; source=e1189742df9fe23253f77b56396197252951e30c; frozen=d1bc37076c1a416e5608b3d011966222297517f0; candidate=e1189742df9fe23253f77b56396197252951e30c	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
packages/gateway-protocol/src/schema/agent.ts	KEEP	prior-exact-overlay; base=bbc27aeedf3081b09e0f297a66ce9c19464a6321; source=4b972ef48f171768b02bc5e4eb8cf99f73ef82c7; frozen=bbc27aeedf3081b09e0f297a66ce9c19464a6321; candidate=4b972ef48f171768b02bc5e4eb8cf99f73ef82c7	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
scripts/plugin-sdk-surface-report.mts	KEEP	prior-exact-overlay; base=819fe782771077090f292b339166b86c0e04813e; source=2c30178d024209408f88a34d3a32df0f9d3ae3bd; frozen=819fe782771077090f292b339166b86c0e04813e; candidate=2c30178d024209408f88a34d3a32df0f9d3ae3bd	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=9
scripts/prepare-extension-package-boundary-artifacts.mts	KEEP	prior-exact-overlay; base=6fd364d385ea2722f1205143d3984bf75dcb1e0a; source=6cd6b77f996300b59fc7aad3079758921ff5e672; frozen=6fd364d385ea2722f1205143d3984bf75dcb1e0a; candidate=6cd6b77f996300b59fc7aad3079758921ff5e672	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
scripts/protocol-gen-swift.ts	KEEP	prior-exact-overlay; base=a63b92150aa4be055b2d6cf901ff85e8c2564ac8; source=b620e51c24b4c2d0049d22794471870efbf3a2fa; frozen=a63b92150aa4be055b2d6cf901ff85e8c2564ac8; candidate=b620e51c24b4c2d0049d22794471870efbf3a2fa	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
scripts/protocol-gen.ts	KEEP	prior-exact-overlay; base=3bcbc91e6039473d6ff6d3ba72c9c8f062160a14; source=084dfa3d38cbedaf660829842825f57c9a9e5040; frozen=3bcbc91e6039473d6ff6d3ba72c9c8f062160a14; candidate=084dfa3d38cbedaf660829842825f57c9a9e5040	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
scripts/testbox-lease-freshness.mts	KEEP	prior-exact-overlay; base=afdad4e8026132e18717fc0d7d9575a9401e7e4c; source=b51a38f9a2090a891cfc4f26063f8c0a6550601f; frozen=afdad4e8026132e18717fc0d7d9575a9401e7e4c; candidate=b51a38f9a2090a891cfc4f26063f8c0a6550601f	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
src/acp/runtime/session-meta.ts	KEEP	current-only-reviewed; accepted: Consume mergeSessionEntry from the extracted session-entry-runtime owner. | frozen: Import mergeSessionEntry through the broader types barrel.	The accepted runtime/static-owner split is intentional and retains ACP binding and prompt-preservation behavior.	source/candidate 636324ad4c73; frozen fb00b7dcefd3; upsertAcpSessionMeta and session-meta tests
src/agents/agent-hooks/compaction-safeguard.ts	KEEP	prior-exact-overlay; base=0f9f89e528d8829d3ff61778040f7d59e6ccfc7b; source=6e71ed71c58e1049d6da910df6d19ecd1d33a9a1; frozen=0f9f89e528d8829d3ff61778040f7d59e6ccfc7b; candidate=6e71ed71c58e1049d6da910df6d19ecd1d33a9a1	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
src/agents/agent-tools.session-permissions.test.ts	KEEP	prior-exact-overlay; base=f662331c180ade7ddb40aa34a7e7b34d03c45e45; source=76edf956e3965049e7d6beb09f9e32f8aedc5690; frozen=f662331c180ade7ddb40aa34a7e7b34d03c45e45; candidate=76edf956e3965049e7d6beb09f9e32f8aedc5690	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=4
src/agents/apply-patch.symlink-alias.test.ts	KEEP	prior-exact-overlay; base=0c7de3a8f6145959aa91c3808e83f82cb6966fc8; source=32e26de3a256b3faca6c2ed084768afd2ad8a035; frozen=0c7de3a8f6145959aa91c3808e83f82cb6966fc8; candidate=32e26de3a256b3faca6c2ed084768afd2ad8a035	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
src/agents/bash-tools.exec-live-state-sqlite-guard.test.ts	KEEP	prior-exact-overlay; base=8507d3e0484c7afa985e0574ec5720483efafa34; source=d2e46076369beb2f00b7675f19737c39b633ec95; frozen=8507d3e0484c7afa985e0574ec5720483efafa34; candidate=d2e46076369beb2f00b7675f19737c39b633ec95	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=5
src/agents/bash-tools.exec-runtime-output.test.ts	KEEP	prior-exact-overlay; base=8d8494fa3f0e6ff3f5c5d283b23661ba71a5bda1; source=fd0a2dcd9c3531e50f6b4f9ecf88dd69dbe36f95; frozen=8d8494fa3f0e6ff3f5c5d283b23661ba71a5bda1; candidate=fd0a2dcd9c3531e50f6b4f9ecf88dd69dbe36f95	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
src/agents/bash-tools.exec-workdir.test.ts	KEEP	prior-exact-overlay; base=aeef606b37f83584f0bac56fd9f6e6beeb1bbf5c; source=442f46c5e518a6297facc5713941b4770b9fb1ac; frozen=aeef606b37f83584f0bac56fd9f6e6beeb1bbf5c; candidate=442f46c5e518a6297facc5713941b4770b9fb1ac	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=4
src/agents/bash-tools.exec.script-preflight.test.ts	KEEP	prior-exact-overlay; base=b365acf0272778ef7e56fd0ad0279c4bdd17704a; source=88c2253cab95b4fcbc8e19b154d6896f9b8ae086; frozen=b365acf0272778ef7e56fd0ad0279c4bdd17704a; candidate=88c2253cab95b4fcbc8e19b154d6896f9b8ae086	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
src/agents/bash-tools.notify-on-exit-ack.test.ts	KEEP	prior-exact-overlay; base=82b52c6655342c39eb51b30053426e85c74a26e2; source=636be680f08b61b257ab7ecf12916c132afefe44; frozen=82b52c6655342c39eb51b30053426e85c74a26e2; candidate=636be680f08b61b257ab7ecf12916c132afefe44	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
src/agents/command/attempt-execution.cli.test.ts	KEEP	prior-exact-overlay; base=19b0366bec1ba3c8f2711d16f3f8324e077e0e75; source=7c76cee9fdc30737d06287e2229815cad86402f7; frozen=19b0366bec1ba3c8f2711d16f3f8324e077e0e75; candidate=7c76cee9fdc30737d06287e2229815cad86402f7	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
src/agents/command/attempt-execution.ts	KEEP	prior-exact-overlay; base=2c512de52cd5126f71377b039cc171725ddc2695; source=99d2525ea9c2474d42c1261892ba050e317d61ed; frozen=2c512de52cd5126f71377b039cc171725ddc2695; candidate=99d2525ea9c2474d42c1261892ba050e317d61ed	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=136
src/agents/command/cli-compaction.ts	KEEP	prior-exact-overlay; base=e39172d88bc5aaf0632cf23750a2947cdc18ba19; source=446563d1babca20bf06618feba92636d7ff994d1; frozen=e39172d88bc5aaf0632cf23750a2947cdc18ba19; candidate=446563d1babca20bf06618feba92636d7ff994d1	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
src/agents/embedded-agent-runner/cli-backend-dispatch-transcript.ts	KEEP	prior-exact-overlay; base=e5b8371a4d89b61b39a3370fc2813320fca7c9a2; source=dd3f8ef70874f728d6b72c5beec37e3487f3d1b0; frozen=e5b8371a4d89b61b39a3370fc2813320fca7c9a2; candidate=dd3f8ef70874f728d6b72c5beec37e3487f3d1b0	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
