row	issue	classification	harness_verdict	exit_code	trace_status	attempts	artifact	reason
R-CW-3	471	NO-VERDICT	PARTIAL-candidate	0	missing	2	R-CW-3/cael/20260803T043053Z-r-cw-3-840fa23b	candidate routing envelope absent after 2 attempt(s); harness verdict PARTIAL-candidate; pending authority: continuation-trace-correlation, tempo-trace-json
R-CW-4	472	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-4/cael/20260803T043237Z-r-cw-4-b5bbf3cf	authority contract complete with candidate envelope
R-CW-5	473	PASS-candidate	PASS-candidate	0	not-applicable	1	R-CW-5/cael/fixture-20260803T044810Z-50be3360	isolated exact-candidate fixture passed all declared production-boundary checks
R-CW-5A	474	NO-VERDICT		0	not-applicable	1	R-CW-5A/cael/static-20260803T044810Z-50be3360	static-preflight-only row was explicitly skipped by live safety policy; no product verdict promoted
R-CW-6	475	PASS-candidate	PASS-candidate	0	not-applicable	1	R-CW-6/cael/fixture-20260803T044810Z-50be3360	isolated exact-candidate fixture passed all declared production-boundary checks
R-CW-6A	476	NO-VERDICT		0	not-applicable	1	R-CW-6A/cael/static-20260803T044810Z-50be3360	static-preflight-only row was explicitly skipped by live safety policy; no product verdict promoted
R-CW-7	477	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-7/cael/20260803T043331Z-r-cw-7-b5bbf3cf	authority contract complete with candidate envelope
R-CW-DELEGATE-CHILD-LIVE	478	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-DELEGATE-CHILD-LIVE/cael/20260803T043337Z-r-cw-delegate-child-live-b5bbf3cf	authority contract complete with candidate envelope
R-CW-DELEGATE-SELF-CONTINUATION	479	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-DELEGATE-SELF-CONTINUATION/cael/20260803T043343Z-r-cw-delegate-self-continuation-b5bbf3cf	authority contract complete with candidate envelope
R-CW-DELEGATE-TOKEN	480	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-DELEGATE-TOKEN/cael/20260803T043403Z-r-cw-delegate-token-b5bbf3cf	authority contract complete with candidate envelope
R-CW-MULTI-COLLAPSE	481	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-MULTI-COLLAPSE/cael/20260803T043409Z-r-cw-multi-collapse-b5bbf3cf	authority contract complete with candidate envelope
R-CW-MULTI	482	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-MULTI/cael/20260803T043415Z-r-cw-multi-b5bbf3cf	authority contract complete with candidate envelope
R-CW-TOKEN	483	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-TOKEN/cael/20260803T043422Z-r-cw-token-b5bbf3cf	authority contract complete with candidate envelope
R-OBS-1	484	PASS-candidate	PASS-candidate	0	unknown	1	R-OBS-1/cael/20260803T043444Z-r-obs-1-b5bbf3cf	authority contract complete with candidate envelope
R-OBS-2	485	PASS-candidate	PASS-candidate	0	unknown	1	R-OBS-2/cael/20260803T043509Z-r-obs-2-b5bbf3cf	authority contract complete with candidate envelope
R-OBS-STATUS	486	PASS-candidate	PASS-candidate	0	unknown	1	R-OBS-STATUS/cael/20260803T043515Z-r-obs-status-b5bbf3cf	authority contract complete with candidate envelope
R-RC-1	487	PASS-candidate	PASS-candidate	0	unknown	1	R-RC-1/cael/20260803T043522Z-r-rc-1-b5bbf3cf	authority contract complete with candidate envelope
R-RC-2	488	NO-VERDICT	PARTIAL-candidate	0	missing	2	R-RC-2/cael/20260803T043931Z-r-rc-2-4cef90fd	candidate routing envelope absent after 2 attempt(s); harness verdict PARTIAL-candidate; pending authority: continuation-trace-correlation, tempo-trace-json
R-REGRESSION-TRAP-TESTS	489	PASS-candidate	PASS-candidate	0	unknown	1	R-REGRESSION-TRAP-TESTS/cael/20260803T043907Z-r-regression-trap-tests-4e357dc2	authority contract complete with candidate envelope
R-TRACE-REDACTION-1121	490	PASS-candidate	PASS-candidate	0	unknown	1	R-TRACE-REDACTION-1121/cael/20260803T043914Z-r-trace-redaction-1121-4e357dc2	authority contract complete with candidate envelope
